#NetProvision Error Code,Error Description,BIS Error Code,BIS Error Description,Origin,sevirity,business rule,BIS Error Name
211820,null,RM-BusinessViolation-01976,BusinessViolation-Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_BUSINESS_VIOLATION
211821,null,RM-ObjectNotFound-01974,Couldn’t find the requested object-Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_OBJECT_NOT_FOUND,,,,,,
211822,null,RM-InvalidData-01972,Missing required data- Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_MISSING_DATA,,,,,,
212000,null,RM-InvalidData-01972,Missing required data- Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_MISSING_DATA
212100,null,RM-InvalidData-01972,Missing required data- Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_MISSING_DATA
212102,null,RM-InvalidData-01972,Missing required data- Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_MISSING_DATA
212204,null,RM-ObjectNotFound-01974,Couldn’t find the requested object-Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_OBJECT_NOT_FOUND
212402,null,RM-InvalidData-01972,Missing required data- Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_MISSING_DATA
214201,null,RM-InvalidData-01972,Missing required data- Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_MISSING_DATA
214202,null,RM-ObjectNotFound-01974,Couldn’t find the requested object-Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_OBJECT_NOT_FOUND
214203,null,RM-InvalidData-01972,Missing required data- Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_MISSING_DATA
214204,null,RM-InvalidData-01972,Missing required data- Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_MISSING_DATA
214205,null,RM-InvalidData-01972,Missing required data- Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_MISSING_DATA
214206,null,RM-InvalidData-01972,Missing required data- Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_MISSING_DATA
214207,null,RM-InvalidData-01972,Missing required data- Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_MISSING_DATA
214208,null,RM-ObjectNotFound-01974,Couldn’t find the requested object-Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_OBJECT_NOT_FOUND
214209,null,RM-ObjectNotFound-01974,Couldn’t find the requested object-Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_OBJECT_NOT_FOUND
214211,null,RM-InvalidData-01972,Missing required data- Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_MISSING_DATA
215001,null,RM-InvalidData-01972,Missing required data- Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_MISSING_DATA
215002,null,RM-InvalidData-01972,Missing required data- Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_MISSING_DATA
215004,null,RM-ObjectNotFound-01974,Couldn’t find the requested object-Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_OBJECT_NOT_FOUND,,,,
215007,null,RM-InvalidData-01972,Missing required data- Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_MISSING_DATA,,,,
238000,null,RM-InvalidData-01972,citrix,NetProvision,0,0,ERR_RM_NET_PROVISION_MISSING_DATA,,,,
238006,null,RM-InvalidData-01972,Missing required data- Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_MISSING_DATA,,,,
238007,null,RM-InvalidData-01972,Missing required data- Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_MISSING_DATA,,,,
238017,null,RM-InvalidData-01972,Missing required data- Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_MISSING_DATA,,,,
238029,null,RM-ObjectNotFound-01974,Couldn’t find the requested object-Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_OBJECT_NOT_FOUND,,,,
JAXB-99999,null,RM-SystemFailure-03530,System Failure- Encoder exception,RM BIS,0,0,ERR_RM_CREATE_EMBUS_SERVICE_REQUEST,,,,
DEFAULT:1,null,RM-SystemFailure-01975,Error in NetProvision Service access,NetProvision,0,0,ERR_RM_NET_PROVISION_EXCEPTION,,,,
DEFAULT:2,null,RM-SystemFailure-01975,Error in NetProvision Service access,NetProvision,0,0,ERR_RM_NET_PROVISION_EXCEPTION,,,,
null,attribute name not found in class SZ5Exchange,RM-InvalidData-01972,Invalid Data-Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_OBJECT_NOT_FOUND,,,,
null,[Tt][Ii][Mm][Ee][Dd]*[ ]*[Oo][Uu][Tt],RM-SystemFailure-00001,Timeout-Exception from NetProvision,NetProvision,0,0,ERR_RM_TIMEOUT,,,,
null,[Nn][Oo][Tt][Ss][Tt][Aa][Rr][Tt][Ee][Dd],RM-SystemFailure-01975,NotStarted is not a valid response for single request-Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_EXCEPTION,,,,
null,null,RM-SystemFailure-01975,System Failure-Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_EXCEPTION,,,, 
